Countries and Areas,BCG,DTP1,DTP3,Polio3,MCV1,MCV2,HepB3,Hib3,Rota,PCV3,PAB_against_tetanus,Pneumonia_with_ARI           
,Diarrhoea_with_ORS,Malaria_with_fever,Children_sleeping_under_ITN    ,Households_with_one_ITN
Afghanistan,78,73,66,73,64,39,66,66,60,65,68,62,46,63,5,26
Albania,99,99,99,99,94,96,99,99,0,98,95,82,35,60,0,0
Algeria,99,96,91,91,80,77,91,91,0,91,98,66,25,0,0,0
Andorra,0,99,99,99,99,95,98,99,0,94,0,0,0,0,0,0
Angola,86,67,59,56,50,35,59,59,65,67,78,49,43,51,22,31
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,99,95,94,96,95,95,95,0,0,0,0,0,0,0,0
Argentina,93,91,86,84,94,89,86,86,80,88,0,94,18,0,0,0
Armenia,99,96,92,92,95,96,92,92,93,92,0,57,37,71,0,0
Australia,0,98,95,95,95,93,95,94,87,95,0,0,0,0,0,0
Austria,0,90,85,85,94,84,85,85,61,0,0,0,0,0,0,0
Azerbaijan,97,96,95,96,96,96,95,95,0,95,0,36,11,0,1,0
Bahamas,0,94,90,90,89,69,90,90,70,90,100,0,0,0,0,0
Bahrain,0,99,99,99,99,99,99,99,98,98,98,0,0,0,0,0
Bangladesh,99,99,98,98,97,93,98,98,0,97,98,42,77,55,0,0
Barbados,0,96,95,94,85,74,95,95,0,89,0,0,0,0,0,0
Belarus,98,97,97,98,97,98,98,9,0,0,0,93,45,0,0,0
Belgium,0,99,98,98,96,85,97,97,87,94,0,0,0,0,0,0
Belize,99,97,96,96,97,91,96,96,0,0,91,67,55,71,0,0
Benin,89,84,76,75,71,0,76,76,0,73,85,46,22,53,70,85
Bhutan,99,98,97,97,97,91,97,97,0,0,89,74,61,0,0,0
Bolivia (Plurinational State of),90,89,83,83,89,38,83,83,87,83,87,62,22,0,0,0
Bosnia and Herzegovina,95,89,73,73,68,76,80,62,0,0,0,87,36,0,0,0
Botswana,98,98,95,96,97,74,95,95,87,91,93,14,43,75,31,53
Brazil,90,87,83,85,84,69,83,83,80,84,94,50,0,0,0,0
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,99,99,99,99,99,98,99,99,0,0,96,0,0,0,0,0
Bulgaria,96,94,92,92,93,87,85,92,31,88,0,0,0,0,0,0
Burkina Faso,98,95,91,91,88,71,91,91,91,91,92,52,40,74,54,75
Burundi,91,94,90,90,88,77,90,90,92,90,90,63,36,70,40,46
Cabo Verde,96,99,98,98,99,88,99,99,0,0,92,0,0,0,0,0
Cambodia,93,94,92,90,84,70,92,92,0,84,93,69,35,61,4,5
Cameroon,88,86,79,78,71,0,79,79,78,79,85,28,16,33,55,71
Canada,0,95,91,91,90,87,71,91,79,81,0,0,0,0,0,0
Central African Republic,74,69,47,47,49,0,47,47,0,47,60,30,16,0,36,47
Chad,59,55,41,44,37,0,41,41,0,0,78,26,20,23,36,77
Chile,96,99,95,95,93,93,95,95,0,93,0,0,0,0,0,0
China,99,99,99,99,99,99,99,0,0,0,0,0,0,0,0,0
Colombia,89,92,92,92,95,88,92,92,90,94,95,64,54,54,0,3
Comoros,94,96,91,94,90,0,91,91,0,0,85,38,38,45,41,59
Congo,81,79,75,75,75,0,75,75,72,73,85,28,27,51,61,66
Cook Islands,99,99,99,99,99,99,99,99,0,0,0,0,0,0,0,0
